ex_id,conv_id,text,brand_reply,intent,route,reply_canned,reply_retrieval,reply_llm_rag
66,580642,"@AmazonHelp been waiting since 20th November for my order via prime, after 2 failed deliveries the book finally arrived and is ripped...","@256789 I'm very sorry that your book arrived late, and damaged, Emily. Please set up a return for a refund or replacement, here: And please let us know if we can be of further assistance! ^SP",DAMAGED_OR_WRONG,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'm sorry it arrived like that! How was everything in the box? Was anything damaged? ^TK,We are so sorry your book arrived ripped after all that waiting! Please send us a direct message with more details so we can assist you further. ^AM
182,511635,Worst customer experience ever! Been told every day for last 4 days that my parcel will arrive tomorrow but nothing! Where is the customer obsession? @AmazonHelp,@237626 We appreciate you reaching out to us on Twitter. What does the most recent tracking information for your order state here: ? ^GG,ORDER_STATUS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Hi, sorry to hear that you haven't received your parcel yet. What's the current status of the tracking and estimated delivery date: https://t.co/aaDyEz1VgE? ^JJ",We sincerely apologize for the frustration with your delivery timeline. Please DM us with your order details so we can look into this for you right away. ^AM
165,787863,@AmazonHelp I would like to know why didn't you ship my order yet?? (Signed John Green book),"@307922 Hi, what's the estimated delivery date of your order? ^JJ",ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,We're sorry to know about the delayed order. Please reach us here: https://t.co/vlvfJr4nN9 and we'd look into it on priority. ^RS,We apologize for the delay with your order. Please send us a direct message with your account details so we can look into this for you. ^AM
78,2301870,"@AmazonHelp My Amazon shopping app offered me an 30 day free trial for prime but when I go to Prime Membership it says ""Your membership will be active soon"" any help?",@668033 We're here to help! We're unable to view your account via Twitter but would be glad to take a closer look here: ^AB,ACCOUNT,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,We'd be more than happy to take a look at this with you. Please reach out to us here: https://t.co/JzP7hlA23B. ^AX,We understand this is confusing! Please check your membership status securely by visiting this link: https://t.co/JzP7hlA23B. ^AG
186,1282333,@AmazonHelp After 4 hour the my payment not shown in amazon pay. Order # 402-5763660-1721927,@419993 Please don’t provide order details as we consider them to be personal info. Our Twitter page is visible to public. (2/2)^BS,PAYMENT,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,be personal information. Our page is visible to the public. (3/3)^SU,"We understand this is frustrating, and we apologize for the delay. Please send us a direct message with your payment details so we can look into this for you. ^AG"
177,1886074,.@AmazonHelp will you ever get a delivery right? Yet again delivery instructions have being ignored. Already contacted the head of logistics,"@562548 When you got in touch, did we provide any advice? ^BM",DELIVERY_ADDRESS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to the public. ^AK 2/2",We're so sorry to hear about the delivery issues you're experiencing. Please send us a direct message so we can look into this for you privately. ^JM
56,1081451,@AmazonHelp I've got Prime but how can I watch the walking dead season 8 on Prime?,"@375105 I'm sorry. At this time, it appears Season 8 is not available for streaming. Please check back later! ^ST",OTHER,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"I'm sorry for the trouble, Scott! Just to confirm, is your device and application up-to-date: https://t.co/kL48gMxK6z? Please keep us posted! ^SD","We're sorry for any confusion with viewing content! For the best assistance with your Prime Video viewing, please visit our secure support center here: <link> ^AG"
152,1282283,"@AmazonHelp @115821 Amazon Prime is a JOKE! Two-day shipping is apparently FIVE-day shipping, DONT WASTE YOUR MONEY ON THEIR LIES","@419988 Oh no, Nicole! Have we missed a delivery promise shown here: . Let us know, we'd be happy to help!^SK",ORDER_STATUS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'm sorry you haven't received your order yet! Can you please tell us the intended delivery date stated in your order confirmation e-mail? ^AC,I'm so sorry to hear about your shipping experience! Please send us a direct message with your order details so we can look into this for you. ^AM
82,2617260,@AmazonHelp my book I ordered came without the first 26 pages.. um what,@302999 I'm sorry you're missing pages from your book! Please visit us at the following link to check out our return options: ^WT,DAMAGED_OR_WRONG,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"We'd like to take a closer look into this. When you have a moment, please send details about this order here: https://t.co/3OJ3VnS3lu ^CC","Oh no, that sounds so frustrating! Please send us a direct message with your order details so we can help get this sorted out for you. ^AM"
68,2133370,"@AmazonHelp had a situation where my sister credit card was charged for my annual fee for prime, wondering if she can get her money back?",@627708 Hi! If you haven't used any Prime services and cancel it here: you'll get a full refund. ^RL,REFUND,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'm sorry for the unexpected charge. Please reach us directly to investigate this with you: https://t.co/wOIXwic8lY ^CL,"We understand this is concerning, and we'd be happy to help look into the charge. Please send us a direct message with more details so we can assist you: <link> ^AG"
124,192322,@AmazonHelp I am not able to cancel my order..plz help,@161170 We'd be happy to help! These steps will help walk you through canceling the order: ^ML,RETURN_CANCEL,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,us here: https://t.co/vlvfJr4nN9 and we'll look for alternatives. (2/2)^SQ,We're sorry you're having trouble canceling your order. Please connect with our support team here: https://t.co/TdDksLo6Mf for assistance. ^AG
16,2033003,@115821 @AmazonHelp @AmazonHelp is there any one who can help regarding produsct status or any thing no one is taking responsibility,"@206197 We would like to help, Arun. Could you please elaborate on your concern? ^VH",ORDER_STATUS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Thanks for reaching out. Following the steps here, what does the status of your refund state: https://t.co/jLyR1zcLrF? ^GG",We're sorry to hear you're having trouble getting an update. Please send us a direct message with more details so we can assist you further. ^AM
148,1243767,"@AmazonHelp Hello, can I have some help with an issue I'm having, I'm quite confused about how I'd do a product return",@411797 We're happy to help! Was this item sold/fulfilled by a third-party seller or Amazon? Order info: ^WM,RETURN_CANCEL,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,We'd like to help you. Please tell us what went wrong? ^BS,We're happy to guide you through returns! Please send us a direct message with more details so we can assist you securely. ^JK
93,648460,.@AmazonHelp @115850 still no calls or mails .. super service ... pLEASE improve ur social media service,"@119350 Also, please ensure that you've added your email address to your Amazon.in account and then share the details in the link. (2/2) ^MO",SERVICE_COMPLAINT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,We have sent a correspondence to your registered email ID. Please check and do the needful. ^AH,I sincerely apologize for the lack of updates you've received. Could you please send us a direct message with more details so we can look into this for you? ^JD
65,1327797,@120781 @115850 @AmazonHelp Ordered DDR4 ram laptop recieved DDR3 (good price difference) fooling customers who bought product!,"@429788 We're addressing your query via DM, kindly take a look. ^MS",DAMAGED_OR_WRONG,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Hey, are you referring to the 'Your recommendations' items displayed on the app, or 'customers who purchased this item also purchased these items' ? ^TP",We are so sorry for this mix-up with your laptop RAM. Please send us a direct message with your order details so we can look into this for you. ^AD
60,311333,"@AmazonHelp @115850 order a book, when i tried to track it shows delivered to tamanna i don't know who she is not in my contact",@145909 I'm sorry about the conflicting tracking update. Kindly reach out to us here: and we'll check it. ^GK,DELIVERY_ADDRESS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,We're sorry to hear this! Who is the carrier for this order? You can find these details listed here: https://t.co/Y5jpI9gRhE ^WM,We're so sorry for the confusion with your delivery! Please send us a direct message with your order details so we can look into this for you. ^AG
84,282448,@AmazonHelp how do I get rid of this error on my fire stick even after following the change home location instructions?,@183290 That's unusual. Please report this to our support team here: and we will assist you. ^NK,OTHER,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Hi, you would need to register the Fire TV Stick to their account so you would need their permission! ^JJ",We're sorry you're running into this error! Please send us a direct message with more details so we can look into this for you. ^AM
67,2888283,I have never had a single package delivered on time when it's sent AMZL. what's up with that @115821 @AmazonHelp,"@434237 I'm sorry! This certainly isn't the experience we want you to have. I'd like to have a member of my team take a look into this for you. When you get a moment, please provide us with some additional details: Thanks! ^SW",ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Hi, what is the amount of the charge &amp; what's written next to it on your statement? ^TS",We're so sorry for the repeated delivery issues you've experienced. Please send us a direct message so we can look into your delivery history for you. ^JD
125,963294,"@115821 @115850 @AmazonHelp ordered a product, in the meanwhile Amazon changed product specification, later denied any involvement",@348603 That's strange. Kindly provide your details here: and I'll get back to you. ^SH,REVIEW_CONTENT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,Could you please elaborate on this? Has there been a miss on any of your recent order? ^HK,We sincerely apologize for the confusion regarding your order specifications. Please send us a direct message with your order details so we can look into this for you. ^JB
132,1774801,@AmazonHelp please start providing other shipping options for Prime than @115817. Their customer service and delivery sucks!!,@533365 I'm sorry for the frustration! Do you have a current order that you're having issues with here: ? ^TN,OTHER,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Oh no! Sorry for the poor experience! Without providing any account specific information, will you tell us what's going on? We are here to help! ^AD",We're so sorry you've had a frustrating experience! Please DM us with more details so we can look into alternative shipping options for you. ^AM
9,957927,@AmazonHelp another failed delivery. Why is shipping locally out of New Jersey to Jersey residents so difficult for you?,@347296 I'm sorry for the reoccurring delivery issues. Are you noticing this trend with a certain carrier: ? ^GG,ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'm sorry for the frustration. Please contact us by phone to report this and to explore options here: https://t.co/JzP7hlA23B ^JF https://t.co/1XyLaGkcaN,I'm so sorry for the repeated delivery issues you're facing. Please send us a direct message with more details so we can look into this for you! ^AM
18,1001005,@AmazonHelp I preordered amazon echo but want to go for amazon plus now. Anyway to reach out to seller? I want another invitation.,@161904 We would like to have a closer look. Please drop in your details here: . We will look into it. ^SB,REVIEW_CONTENT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Sure! We're happy to help. Is this the promo you're referring to: https://t.co/fMSQMQmdxE?

What seems to be the issue? ^JS",We understand you have questions about your pre-order and Amazon Plus. Please send us a direct message with more details so we can best assist you! ^AM
55,989034,"@AmazonHelp just had a missed delivery email, yet I am home! Delivery person didn't ring or knock","@294489 Hi Yoyo, sorry to hear that! Did you get a calling card left? ^AT",DELIVERY_ADDRESS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'm sorry you had that experience! Please reach out to us here: https://t.co/JzP7hlA23B so we can take a look into this. ^AH,We're sorry for the confusion with your delivery! Please send us a direct message so we can look into this for you. ^AM
75,880000,@AmazonHelp Can I have a refund on my gift card,"@328641 Great question, Reece! Gift Card refunds are particular per issue, so here is some more info: ^JD",REFUND,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"We'd like to help! Without providing any sensitive information, could you tell us more? ^ZW","I understand you're looking for a refund, and we're sorry for any inconvenience. Please send us a direct message with more details so we can assist you securely. ^JS"
150,665517,@AmazonHelp Hey.. i ordered a book three days back but now it's available at Rs 100 discount. It hasn't been delivered yet. Help??,@278560 Due to constant changes in the market place we experience price fluctuations & we do not price match for this situation. ^MJ,ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,Have you ordered this from Amazon.in Don? ^HN,We understand your concern about the price change and delivery time. Please send us a direct message with your order details so we can look into this for you ^JM.
104,2774136,@115850 @AmazonHelp Unable to get information on how to claim warranty for one of the products. App is also not helpful,"@775308 I understand your concern, please contact us via and our support team would assist you. ^MD",OTHER,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'll get back to you. 2/2 ^SH,We're sorry you're having trouble with the app! Please reach out to us at <link> so we can guide you through the warranty claim process. ^AG
135,1568712,"@AmazonHelp, I have Prime and deployed to Poland. I get the service area restriction message. How can I get Prime to work here?","@458895 I'm sorry for the troubles, Tray! We'd like to help if we can. Just to clarify, are you trying to ship to Poland or to the US? ^AL",ACCOUNT,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"I'm sorry Nishant, we currently do not have any such options. However, I'll surely pass on your feedback. ^HN",We're sorry you're running into service restrictions! Please send us a direct message with more details so we can look into this for you. ^JD
137,2802338,"@AmazonHelp My phone with my 2FA/MFA code app died, and the ""Sign in using alternative factors"" link at 404s.",@781724 I'm sorry for the frustration! We'd like our Account Specialist to look into this for you. When you have a moment contact us here: ^AC,ACCOUNT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I am sorry to heat this. Can you please try clearing your cookies and cache as this may rectify this issue for you.^GA,I'm so sorry for the trouble you're having with the sign-in link. Please send us a direct message so we can securely assist you with account access.^AG
164,1505431,Hello @AmazonHelp @115850 Friend of mine got her order in damaged condition. Can you please check,@351200 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,DAMAGED_OR_WRONG,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Sorry to know you're having trouble with the delivery of an order, we certainly did not intend to ruin the moment. Have you reported this to our support team here: https://t.co/TdDksLo6Mf? We'll definitely look into it. ^PS","Oh no, we're so sorry to hear your friend received a damaged item. Please send us a direct message with more details so we can assist you! ^AM"
76,1044300,@115850 @115851 @115821 @AmazonHelp Prime membership didn't work it's take 6 day to delivery my product bad service from Amazon,@366786 We've responded to your query here: . ^HA,ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'll ensure to share your comments internally to work on (2/2) ^CB,We're so sorry to hear about your Prime membership and delivery issues. Please connect with us securely here: <link> so we can look into this for you. ^AG
79,258835,Wot a joke! @AmazonHelp I paid 4 #amazonprime just got an undelivered notification on an item I needed 4 2morrow & I was in! #primesucks,@177537 I'm so sorry for the trouble! We'd like to look at this with you. Please call or chat with us: ^MH,ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"I'm sorry for any concern this causes! When this happens, we ask that you try these steps: https://t.co/dpsFUhzZVa

If you're still unable to locate your order after trying those steps, please reach out to us here: https://t.co/hApLpMlfHN ^WT",I'm so sorry to hear about your undelivered item! Please send us a direct message with more details so we can look into this for you. ^AJ
197,1692613,"Hey @AmazonHelp I can't log in, yet KNOW FOR A FACT I am using the correct email & password, even reset it to be sure. Help please...","@204310 Hello, John! I'm sorry to hear of your issue. We have no account access but are waiting to help here: ^TM",ACCOUNT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"I'm sorry for the trouble, David! Have you tried the troubleshooting tips listed here? https://t.co/cCzXPfJshX ^LA",We understand how frustrating this must be! Please securely send us a direct message so we can assist you with your login issue. ^AM
38,667732,"@AmazonHelp is amzon pantry available to satna mp 485001,pls tell",@279160 We currently do not deliver Amazon Pantry to 485001. You could check the list of eligible pin codes here ^VM,OTHER,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,Request you to please help us with the product link so that we can assist you accordingly. ^SU,We can check availability for you securely! Please visit our help center here: <link> to get the best assistance. ^JK
24,1271579,"@AmazonHelp @115850 I havnt got my refund yet...for my order no. 406-5219321-0534711, one of the red bull can was damaged.",@417690 We'd like to take a closer look into this. Please fill this form: and we'll get back to you.(1/2)^AU,REFUND,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^MO","We understand this is frustrating, and we'd be happy to look into this for you privately. Please send us a direct message with more details so we can assist you further. ^JS"
122,2769005,.@115821 @AmazonHelp tried many times to call but no no chance ... What a pathetic service guys ... U won't last for long if u will be like his in India .taking money and not delivering even after a month,"@119350 Alternatively, you may reach out to our team via E-mail/Chat using the link shared earlier. ^GK",ORDER_STATUS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA 2/2,We sincerely apologize for the difficulty reaching us and the delivery issues you've experienced. Please send us a direct message or visit our support page here: <link> ^AM
195,2983665,@AmazonHelp Hi i have a query i live in Marthahalli bridge area (Bengaluru) . can you tell me where is the nearest location for phone exchange ???,@822766 Are you referring to the mobile exchange program on our website? ^SY,RETURN_CANCEL,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"As for your parcel, can you let us know what your tracking shows? You can check it here: https://t.co/aaDyEz1VgE ^DA (2/2)","We're sorry, but we don't handle local service locations. Please send us a direct message with more details so we can point you in the right direction. ^AM"
29,80560,@AmazonHelp is there anyway to get an update on return that was delivered to Amazon 2 days ago?,@133884 Hello! It generally takes 5-7 business days for your bank to process your refund after we received the return. You can track your return here: .^CN,RETURN_CANCEL,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Hi, Ashlee! We're certainly here to help! Just to confirm, who is the carrier for this delivery? ^NS",We understand you're eager for an update on your return! Please send us a direct message with more details so we can look into this for you. ^JS
19,2064364,"@115850 @AmazonHelp My subscription of amazon prime is going to end soon, so i thought not to renew it As the services r not good lately",@404003 I understand you are upset with our services. Could you please let us know if you have any unaddressed concerns. ^VH,ACCOUNT,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Oh no, Eliza! Are you currently having issues with an order? Let us know! We'd love to help! ^SK",We're sorry to hear about your experience with Prime. Please send us a direct message with more details so we can look into this for you. ^JD
143,2305763,@AmazonHelp You really dropped the ball on a recent order and I will no longer be an amazon customer. Your customer service is abysmal!,"@590013 I'm sorry for the disappointing customer service experience, Jeannye. Without providing personal or account information, can you tell us a little more about what's going on? What options have been provided so far? Please let us know! ^FD",SERVICE_COMPLAINT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"No worries Greg, we are happy to help. Without providing any account details, can you let us know what's going on? ^CH",We're so sorry to hear about your experience; we want to help make this right. Please send us a direct message with more details so we can look into this for you ^JS.
86,458863,"@115821 is now late with the third straight package. This one was needed for an interview and won't make it, putting me in a bind. Tell me why I shouldn't cancel my prime membership and taking my business elsewhere. @AmazonHelp",@223977 I'm sorry you haven't received your order. That's not the type of service that we aim to provide. Who's the carrier for the order? You can find that information here: ^FJ,ORDER_STATUS,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"I'm sorry for the poor experience! Without providing account/personal info, can you describe the current situation? ^AG",We are so sorry for the delivery delays you're experiencing. Please connect with our support team here to discuss your membership options: <link> ^AG
