ex_id,conv_id,text,brand_reply,intent,route
12,2641721,@AmazonHelp @115830 Will my pre-order come on the day of release?,@745482 You can view all the info about Release Day Delivery here: ^AR,ORDER_STATUS,auto
13,876654,@AmazonHelp I appreciate my product being protected but could a smaller box not be found?,"@328135 We're always looking to improve, Adam! Here is where you can express your feedback: ^VB",OTHER,auto
14,96852,@AmazonHelp @115821 can you stop using your own horrible delivery services? 1 package arrived fine 1 package missing. Complete garbage.,"@137139 I'm very sorry for the poor experience, Jordan! This isn't the level of customer service we'd like for you to expect. I want to have a member of my team look into this for you. Please send us your details here: ^FR",ORDER_STATUS,auto
15,1003702,Why there is moto c plus in mobile exchange list @AmazonHelp,"@313372 I'm unable to comprehend your concern, Could you please elaborate this? ^VR",OTHER,auto
16,2033003,@115821 @AmazonHelp @AmazonHelp is there any one who can help regarding produsct status or any thing no one is taking responsibility,"@206197 We would like to help, Arun. Could you please elaborate on your concern? ^VH",ORDER_STATUS,human
17,80808,@AmazonHelp @115821 if my package is expected to be delivered tomorrow why does it not show shipped yet status?,@133927 Many packages are shipped the day they are delivered. We strive to deliver on the delivery date provided on the confirmation email. Please keep us updated on the packages arrival ^BA,ORDER_STATUS,auto
18,1001005,@AmazonHelp I preordered amazon echo but want to go for amazon plus now. Anyway to reach out to seller? I want another invitation.,@161904 We would like to have a closer look. Please drop in your details here: . We will look into it. ^SB,REVIEW_CONTENT,human
19,2064364,"@115850 @AmazonHelp My subscription of amazon prime is going to end soon, so i thought not to renew it As the services r not good lately",@404003 I understand you are upset with our services. Could you please let us know if you have any unaddressed concerns. ^VH,ACCOUNT,auto
20,2804291,"@AmazonHelp @115821 i try to order on certain days so i can be off from work to receive the package because my rental office wont take them anymore,amazon is really screwing up lately and it makes me want to shop elsewhere,i am really pissed",@438214 I'm sorry for the trouble with the recent delivery. Please keep us updated on the replacement. We want to ensure you receive it. ^RR,DELIVERY_ADDRESS,auto
21,660421,"So.. um, @AmazonHelp I don't think my package is coming, it's still in New Jersey, I live in Delaware, my other order came today. Just not the car charger","@117986 I'm happy you received your other package! I completely understand your concern however, we need to make sure if your order will arrive by the estimated delivery time. Please, let us know if it arrives on time. We look forward to hearing from you. ^EB",ORDER_STATUS,auto
22,1272361,"@AmazonHelp my orders page is redirecting me to the ""manage your kindle"" page. also got a weird email from __email__?",@417841 HI! Clearing your cache and cookies will help and here's information to help with that email: ^CM,APP_WEBSITE,human
23,1563755,@AmazonHelp Haven't got my cashback yet. Hellppp!!!!!,"@293724 I understand your concern. Have you happened to report this to our team here: ? If not, please do. ^ST",PAYMENT,auto
24,1271579,"@AmazonHelp @115850 I havnt got my refund yet...for my order no. 406-5219321-0534711, one of the red bull can was damaged.",@417690 We'd like to take a closer look into this. Please fill this form: and we'll get back to you.(1/2)^AU,REFUND,human
25,334046,"@AmazonHelp hey I ordered a kit with toothpaste and a toothbrush but I only recieved a toothbrush as shown in the photos, what should I do?",@195596 Sorry it was missing the toothpaste. We can look into your options with you here: ^AF,DAMAGED_OR_WRONG,auto
26,2094060,@AmazonHelp I did not get any call from the delivery guy but got this message,@618720 We apologize for the inconvenience. Please report this to our support team here: for assistance. ^BV,DELIVERY_ADDRESS,auto
27,215981,"@AmazonHelp Hey I'm a Canadian visiting the US, so I ordered something to that address. It got cancelled and locked. I can wait. But will I be able to order it once unlocked? or will it lock again","@167357 Just to confirm, was your order placed on or .ca? Have you received an e-mail from our Account Specialists? They typically reach out via e-mail with 2 business days. ^LI",RETURN_CANCEL,human
28,59541,@AmazonHelp my prime parcel should have been delivered today and still no sign? Item was needed for a present but no show,"@129582 I'm so sorry your parcel hasn't arrived, Laura! Have you received an updated delivery date? ^WJ",ORDER_STATUS,auto
29,80560,@AmazonHelp is there anyway to get an update on return that was delivered to Amazon 2 days ago?,@133884 Hello! It generally takes 5-7 business days for your bank to process your refund after we received the return. You can track your return here: .^CN,RETURN_CANCEL,auto
30,229119,"@AmazonHelp hi yeah, you've taken money out of my account twice for one thing",@170638 Hi Sophie. Can you please use this link to provide details and I'll investigate this for you: ^RL,REFUND,human
31,841301,@AmazonHelp Contacted many times through email. Still not received my Cashback for my earlier order. Sort out this.,@320150 Sorry about that! Kindly fill in your details here: and we'll look into this. ^PB,PAYMENT,auto
32,1385740,"Its manufacturing default in that @117013 Xperia @AmazonHelp It's hardware prblm frm manufacturing,still they are not accepting #sonyxperia",@384698 We've responded to your query here: ^AK,DAMAGED_OR_WRONG,human
33,752971,@AmazonHelp VISA DEBIT RETAIL PURCHASE Amazon.ca Prime 727831280489..... #Fraud,"@299947 I'm sorry for the unexpected charge, Yuri! Here's some reasons why this could've happened: ^FD",PAYMENT,human
34,868633,"Hey @AmazonHelp , I love it when your package couriers toss $500 worth of electronics (with lith ion batteries) over my fence so they can bake in the hot FL sun... Is it so hard to walk them to the door? This is sensitive stuff.",@326252 I'm so sorry to see the way your package was delivered! Will you confirm the carrier listed for your package? ^HC,DELIVERY_ADDRESS,human
35,988326,@AmazonHelp Accidentally bought George Michael's 'Ladies And Gentlemen...'. Please can you arrange a refund? I haven't downloaded it. Thanks,@354158 Oh my! We'd be happy to help. Please reach us via phone or chat here: so we can take a look! ^AB,REFUND,auto
36,529021,@AmazonHelp this is now getting ridiculous I have been let down 2 times now and want this sorted out.,@242497 Could you please explain what the issue is? Was this an order made with us? Who is the seller? ^BD,OTHER,human
37,22579,"@AmazonHelp it's 3rd week still I haven't received my replacement order, I had received unworkable mobile & still it's not replace #Amazon",@120933 We have emailed you here: Kindly check & reply to it for further assistance. ^SY,ORDER_STATUS,human
38,667732,"@AmazonHelp is amzon pantry available to satna mp 485001,pls tell",@279160 We currently do not deliver Amazon Pantry to 485001. You could check the list of eligible pin codes here ^VM,OTHER,auto
39,1031873,@AmazonHelp Help me please.,"@364158 We are here to help Seth. W/o posting personal info, are you able to elaborate on the issue? ^PK",OTHER,human
40,227141,@AmazonHelp driver dumped all plastic ice trays outside my property last night. Really not impressed. Order #: 204-8456651-5115516,@170180 I am very sorry to see this. Please fill in the link and we will reach out to you as soon as possible. ^CR,DELIVERY_ADDRESS,auto
41,408786,@AmazonHelp I have a charge from Amazon I don't recognize??,@212453 Oh no! Read through some helpful unknown charge scenarios here: Let us know if this works! ^SA,PAYMENT,human
42,1728605,@115821 almost two hours waiting for a reply from @AmazonHelp Great customer service indeed,"@522626 Without personal info, was the issue resolved? ^MC",SERVICE_COMPLAINT,human
43,1203382,"@115821 @AmazonHelp thanks to ur driver 2day my bf n I lost out on our #snes bc they didn't use the locker but ""delivered"" them somewhere",@402702 I'm sorry for the delivery issue! Just to confirm; who's the carrier under tracking info: ? ^WT,DELIVERY_ADDRESS,human
44,2283482,@115821 @AmazonHelp so I returned 2 items and was only refunded for 1. What do I do?,@306396 That's odd! Did you return the items in the same box? We'd like to help! ^KJ,REFUND,human
45,641799,@AmazonHelp how are your delivery drivers allowed to just leave parcels on the doorstep in clear sight of everyone who walks past giving them the opportunity to take it...really not impressed. At least put it in the back garden or something...,@272311 I'm sorry your parcels haven't been left in a safe location! Have you designated a safe place for deliveries when you're not in? You can find out more about this here: ^KH,DELIVERY_ADDRESS,auto
46,1118633,Another big packing dabba from @115821 @AmazonHelp for the small size boxes,@146929 It is a matter of concern. Kindly submit the feedback on packaging here: . We'll work on it. ^HR,OTHER,auto
47,2124833,"Hmmmm @AmazonHelp this was delivered to work, there is no garden!","@625780 I'm sorry to see this, Alex! We'd like to take a closer look. When you can, please ring us here: ^HC",DELIVERY_ADDRESS,auto
48,1677130,"@AmazonHelp want to cancel the order, already paid but whats the use if it is going to take more than 10 days to deliver? So how to do it?","@227293 I understand your concern. To cancel the order, please refer: ^MO",RETURN_CANCEL,auto
49,1225185,"So @115821 can't get my copy of #origins on time, so they sent me a code for a digital copy. Nice looking out. @AmazonHelp","@407433 I'm sorry for any inconvenience caused, but I am truly glad to hear we were able to find an adequate solution together! ^JE",OTHER,auto
50,964776,@AmazonHelp @115850 I'm expecting a parcel today (bday gift for someone) and courier guy is not answering the calls. Disappointed,@348993 Sorry to know about the issue with delivery. Please call us here : and we'll have this checked. ^NR,DELIVERY_ADDRESS,auto
51,245174,@AmazonHelp how long does it take to get a star wars battlefront 2 beta code for pre ordering??,@174202 We'd be happy to help! Reach us here via chat/phone so we can take a look with you in real-time: ^KN,ORDER_STATUS,auto
52,854362,Initiate exchange for a defective product and received again another defective..what kind of cheating is it @115850 @AmazonHelp @115821,"@322918 I'm sorry to hear about the trouble with the order. We'd like to help, kindly connect with us here: ^MA",DAMAGED_OR_WRONG,human
53,2266716,"Hey @116090 - UR DOIN' IT WRONG DX So glad I got this album on release day LIKE YOU ""GUARANTEED"" I WOULD. @AmazonHelp","@659772 Hello, I am very sorry to see this delay. Has the tracking on the order been updated? ^CR",ORDER_STATUS,auto
54,2790504,@AmazonHelp another disappointment...order an e-voucher instead and someone has managed to hack in and steal it within seconds of it being available..,@777471 I am so sorry about your order! Have you had a chance to reach out to us via phone? ^LS,ACCOUNT,human
55,989034,"@AmazonHelp just had a missed delivery email, yet I am home! Delivery person didn't ring or knock","@294489 Hi Yoyo, sorry to hear that! Did you get a calling card left? ^AT",DELIVERY_ADDRESS,auto
56,1081451,@AmazonHelp I've got Prime but how can I watch the walking dead season 8 on Prime?,"@375105 I'm sorry. At this time, it appears Season 8 is not available for streaming. Please check back later! ^ST",OTHER,auto
57,835148,My recent history with the @115821 & @AmazonHelp proves tht now days they have a new hobby of making people fool by placing wrong price 2/3,"@318841 can work on it. For pricing related information, please refer: (2/2)^AU",REVIEW_CONTENT,human
58,2954483,@AmazonHelp @115821 @115830 so I tried to get some help and now Amazon or someone pretending to be Amazon is asking me for all my personal and card details. #somethingisnotright,@815512 Thank you for bring this to our attention! We would never request personal information via Twitter! ^LS,ACCOUNT,human
59,1635705,My order is dispatched but it shows monday delivery. Any chances to make it deliver before sunday ? @115850 @AmazonHelp,@344048 We cannot promise you early delivery. Request you to wait. 2/2 ^NK,ORDER_STATUS,auto
60,311333,"@AmazonHelp @115850 order a book, when i tried to track it shows delivered to tamanna i don't know who she is not in my contact",@145909 I'm sorry about the conflicting tracking update. Kindly reach out to us here: and we'll check it. ^GK,DELIVERY_ADDRESS,human
61,1345575,"@AmazonHelp Hey, Amazon asks for monthly statement for my new card, but I have no statement yet, What can I do? My account is on hold now :(",@433759 I'm sorry about the account trouble! I'd recommend contacting your bank and requesting a statement from them. ^LB,ACCOUNT,human
62,778899,"@AmazonHelp How long does it take for an order of in-stock items to ship, generally? I've been waiting for about a week, still prepping.",@306017 We aim to meet the delivery date provided in your order confirmation e-mail: . Has this changed? ^CL,ORDER_STATUS,auto
63,2356886,"@AmazonHelp - plz help. 2nd attmpt w/ my xbox &the Amaz Trade-in program. Denied 1st time, msg said, 'Power Cord Not Included.' It was shipped back; I called Amazon CS they said ""create a new trade-in, put cord in box, ship back."" I did. Denied again. See image. Frustrated.","@680854 Hello Jay! Sorry about the frustration. The image provided shows two unique items selected. For the 'Name Your Game Bundle', could you check to see what is required for trade-in? Trade-In information can be found here: ^TE",RETURN_CANCEL,human
64,2604908,"@AmazonHelp hi, I've a problem, today I has been charged on my credit card for something that I'm not buying it","@667008 Hi, without providing any personal information, can you let us know how much the charge was? ^KI",PAYMENT,human
65,1327797,@120781 @115850 @AmazonHelp Ordered DDR4 ram laptop recieved DDR3 (good price difference) fooling customers who bought product!,"@429788 We're addressing your query via DM, kindly take a look. ^MS",DAMAGED_OR_WRONG,human
66,580642,"@AmazonHelp been waiting since 20th November for my order via prime, after 2 failed deliveries the book finally arrived and is ripped...","@256789 I'm very sorry that your book arrived late, and damaged, Emily. Please set up a return for a refund or replacement, here: And please let us know if we can be of further assistance! ^SP",DAMAGED_OR_WRONG,human
67,2888283,I have never had a single package delivered on time when it's sent AMZL. what's up with that @115821 @AmazonHelp,"@434237 I'm sorry! This certainly isn't the experience we want you to have. I'd like to have a member of my team take a look into this for you. When you get a moment, please provide us with some additional details: Thanks! ^SW",ORDER_STATUS,auto
68,2133370,"@AmazonHelp had a situation where my sister credit card was charged for my annual fee for prime, wondering if she can get her money back?",@627708 Hi! If you haven't used any Prime services and cancel it here: you'll get a full refund. ^RL,REFUND,human
69,737159,@AmazonHelp I have raised a return request 408-7456269-9685902 can you check is it refund or replacement?,@192726 order/account details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2),RETURN_CANCEL,auto
70,1181432,@AmazonHelp ive made 2 separate orders tonight but with the same card yet one order keeps asking me to revise my payment method?,"@254772 Hi, Let's take a look here to see if we can get this resolved: ^MO",PAYMENT,auto
71,685794,@AmazonHelp ur a joke i ordered two parcels one was fucking empty and the other never even came but both say delievered in their tracking status,@283702 I'm sorry you didn't receive your parcels as expected. Please reach out to us here: so we can look into this with you. We'd like to help! ^ZW,ORDER_STATUS,human
72,1436649,@AmazonHelp @115821 and there is no one taking the call at customer service i'm never gonna buy anything again from Amazon.worst site,@453167 I'm sorry about that. Kindly connect with us via char/email. We'll check this for you. ^SG,SERVICE_COMPLAINT,human
73,2602950,@AmazonHelp @115830 sat at home waiting for my parcel and have just received this! No one has even been with my parcel! Sat in all day for this! #badservice,"@736622 I'm sorry to hear that your parcel didn't arrive as expected. Has it missed the delivery date provided in your order confirmation e-mail? Please let us know, we're here to help! ^AZ",DELIVERY_ADDRESS,auto
74,870151,@AmazonHelp ur customer service is pathetic. WILL SOMEONE CARE? my registered email address is __email__,@326613 Please don’t provide your details as we consider them to be personal info. Our page is visible to public. ^SG(2/2),SERVICE_COMPLAINT,human
75,880000,@AmazonHelp Can I have a refund on my gift card,"@328641 Great question, Reece! Gift Card refunds are particular per issue, so here is some more info: ^JD",REFUND,auto
76,1044300,@115850 @115851 @115821 @AmazonHelp Prime membership didn't work it's take 6 day to delivery my product bad service from Amazon,@366786 We've responded to your query here: . ^HA,ORDER_STATUS,auto
77,727381,@AmazonHelp my account has been hacked and I can't find a UK contact number,@294247 Hi Katy- Sorry to hear about your account. Can you report this to us directly via: Thank you ^NV,ACCOUNT,human
78,2301870,"@AmazonHelp My Amazon shopping app offered me an 30 day free trial for prime but when I go to Prime Membership it says ""Your membership will be active soon"" any help?",@668033 We're here to help! We're unable to view your account via Twitter but would be glad to take a closer look here: ^AB,ACCOUNT,auto
79,258835,Wot a joke! @AmazonHelp I paid 4 #amazonprime just got an undelivered notification on an item I needed 4 2morrow & I was in! #primesucks,@177537 I'm so sorry for the trouble! We'd like to look at this with you. Please call or chat with us: ^MH,ORDER_STATUS,auto
80,1125175,@AmazonHelp @118919 I have not received my cashback for order no. 403-7428184-1258738 dated 20 November. What r u wanted prove? I have already mentioned detail on my Facebook account 5 hour ago. No response.... Don't tease me.....,@385304 Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public.^SU,PAYMENT,human
81,1187107,"@AmazonHelp Whats going on with the Samurai Jack bluray set? Ordered 10 days ago, still hasnt shipped ORDER # 111-2408987-9730628","@399146 We can't access your orders here, but we want to look into this for you. What was the estimated delivery date for your order?^NS",ORDER_STATUS,auto
82,2617260,@AmazonHelp my book I ordered came without the first 26 pages.. um what,@302999 I'm sorry you're missing pages from your book! Please visit us at the following link to check out our return options: ^WT,DAMAGED_OR_WRONG,auto
83,1777723,"@AmazonHelp Hi, I'm a Prime member with Amazon.de located in Belgium. I want to buy a Fire TV Stick, but the site keeps telling me that they can not ship it to BE. Is there another way to get it shipped to Belgium?","@534149 Hi! Unfortunately not. Only in in Germany and Austria. There is also a message on top of the product page which is telling that: ""This product only ships to Germany or Austria"". Sorry! Best regards ^AS",OTHER,auto
84,282448,@AmazonHelp how do I get rid of this error on my fire stick even after following the change home location instructions?,@183290 That's unusual. Please report this to our support team here: and we will assist you. ^NK,OTHER,auto
85,2557230,"@AmazonHelp I don't need help, but I want to call out that I orderded 6 small-ish things, and I received 3 packages. Everything was in containers too big for what they actually were. All could have fit in one box. Super wasteful.",@726010 Not all items are arriving from the same location which may result in multiple packages. We're always looking for ways to improve. You can leave your feedback with us here: ^KP,OTHER,auto
86,458863,"@115821 is now late with the third straight package. This one was needed for an interview and won't make it, putting me in a bind. Tell me why I shouldn't cancel my prime membership and taking my business elsewhere. @AmazonHelp",@223977 I'm sorry you haven't received your order. That's not the type of service that we aim to provide. Who's the carrier for the order? You can find that information here: ^FJ,ORDER_STATUS,human
87,947745,@115821 @115850 @AmazonHelp Can you provide me House of Marley customer care no.? My headphone is not working!,@344752 I'm sorry to hear that. Please get in touch with them here: ^AU,OTHER,auto
88,2578600,"@AmazonHelp help Netflix on my firestick has no audio on most shows and films but works perfectly on others... I have un plugged, waited 60secs and reinstalled the app nothing is working????",@731048 I'm sorry there have been problems with the audio on your Fire TV Stick. We'd like to help. Please contact us directly via phone or chat to troubleshoot: ^JF,APP_WEBSITE,auto
89,2245392,@AmazonHelp My account was blocked by Amazon when I tried to purchase an item (I have no idea why!) and I received an email asking me to send my card statement to a US fax number. I'm in Brazil and I don't have access to fax. Can you please help me to restore my account?,@654426 I'm sorry to hear about your account! The Account Specialist will need this information faxed to them in order to work on a resolution. They're also in the best position to assist with the account. Please reply directly to the e-mail they've sent with any concerns. ^AB,ACCOUNT,human
90,697248,@AmazonHelp My order is 5 days late and has now been rescheduled for delivery. Why have Prime if I could get something faster via USPS?,@286367 I'm so sorry for the wait. Were you ever sent an e-mail stating why the order was rescheduled? ^MH,ORDER_STATUS,auto
91,1327031,@AmazonHelp your delivery driver left my fire tablet outside my house for 3 hours and marked it as 'handed to resident' ?? What if had been stolen?,"@429619 I'm sorry for the trouble! When you have the time, please reach out to us via phone or chat here: ^KP",DELIVERY_ADDRESS,auto
92,1209890,@AmazonHelp happy with your service - just sometimes the packaging could be improved #amazon #Packaging,@404011 Sorry about this Markus. Which Amazon website did you purchase the order on? ^KM,OTHER,auto
93,648460,.@AmazonHelp @115850 still no calls or mails .. super service ... pLEASE improve ur social media service,"@119350 Also, please ensure that you've added your email address to your Amazon.in account and then share the details in the link. (2/2) ^MO",SERVICE_COMPLAINT,human
94,2304228,20:05 on a sunday and still waiting on @AmazonHelp delivering... where the hell R you #amazon #AmazonPrime,"@122347 I'm sorry for the wait on your order. We do deliver until 21:00 daily, 22:00 if Amazon logistics is your courier. Please reach back out if you haven't received your order by then. We're here for you. ^AN",ORDER_STATUS,auto
95,542191,@AmazonHelp Paid extra for one day delivery and still isnt out for delivery for today... what the the point,@245827 Hi there! Has the delivery missed the date listed in the confirmation e-mail? ^AP,ORDER_STATUS,auto
96,1137287,Hi @AmazonHelp I bought something from a 3rd party through amazon. Item arrived broken and inadequately packaged. No response to messages.,@259977 Hi Hayden- Sorry to hear about your item- When did you contact Seller? ^NV,DAMAGED_OR_WRONG,human
97,879200,@AmazonHelp Product support window for a product is closed and I have not received my refund. Can I get a call back?,"@178318 I understand your concern, please contact us here: so that we can assist you accordingly. ^SS",REFUND,human
98,2946857,@AmazonHelp Hoping you can help me with an order and why payment is still pending.,"@813929 Thanks for reaching out to us, Russ! We are unable to view orders via Twitter. Has your order shipped yet? You can check here: ^SW",PAYMENT,auto
99,2979689,"@AmazonHelp Hiiiii, so I purchased a product last week (from LLC) and the delivery date is supposed to be tomorrow/Friday but it hasnt even been shipped???? There's no messaging option so who do I contact because this is very frustrating.","@821769 Thanks for reaching out to us! It's not uncommon for orders to ship near or even on the day of delivery. If your order doesn't arrive by when expected, please reach out to us here: ^HS",ORDER_STATUS,auto
100,1335072,"@AmazonHelp Hi, I sent a refund request for a gift order and have not heard back after 48 hours - can you help?",@296755 We're unable to view your order via Twitter but we'd like to help! Please reach us via phone/chat: ^AB,REFUND,human
101,1231246,Dear @AmazonHelp waiting on delivery since 23rd told by CS would be delivered between 6:30pm-9 on 24th I waited. Today? #stillnothing,@408795 I'm so sorry you haven't gotten your package yet! Can you tell us the most recent tracking info? ^HS,ORDER_STATUS,auto
102,2396359,@115830 @AmazonHelp when I try and log in it says 'no account found for that email address' - it's an amazon account I've had for years linked to my hotmail email. I am worried! Help! It's got e.g. all my kindle books on it!,"@689766 I'm sorry for any concern this causes, Jennifer! Have you received any e-mails from us? I'd recommend also checking in your Spam/Junk folder, as sometimes these messages are routed there by mistake. Let us know! ^WT",ACCOUNT,human
103,2724534,@AmazonHelp Amazon i need help i m very old amazon user and not even get free trial of amazon prime atleast provide me trial period of 2 days so i can spend rs 999 for amazon prime,"@764178 The Prime free trial was a promotional offer. However, you can refer here: for more benefits with Prime. ^SG",ACCOUNT,auto
104,2774136,@115850 @AmazonHelp Unable to get information on how to claim warranty for one of the products. App is also not helpful,"@775308 I understand your concern, please contact us via and our support team would assist you. ^MD",OTHER,auto
105,328468,"@AmazonHelp @115821 When does a pre order item ship relative to its release date?? ex. If release is Nov.7 when will it ship, I have prime",@194317 Great question! Was your item eligible for Release Date Delivery? ^AC,ORDER_STATUS,auto
106,2613181,"Dear @AmazonHelp, Why do I pay to have next day delivery and then the carrier f*&k$ it up (UPS) and it takes longer? Getting tired of wasting my money #AmazonPrime #notdeliveredaspromised",@738780 I'm so sorry for your poor experience! Have we missed the date that we provided at checkout? We'd like to help! ^ZW,ORDER_STATUS,human
107,1278843,@AmazonHelp @115850 OrderID 402-0535499-9849941 got shiped by courier which has no service in our location. will get cancld like past ordr,@419257 That's strange. Let us help you out here. Please drop your details here: and we'll reach out to you. ^VM,DELIVERY_ADDRESS,auto
108,2081546,@AmazonHelp Chat help unimpressive. Communication even worse. Will be going out at 11pm to replace order. #customerservicefail #amazon,"@615570 I'm sorry to hear this. Without posting account info, can you tell us more about the issue? Which options were given? ^LI",SERVICE_COMPLAINT,human
109,1743709,@115850 @AmazonHelp Today a contest result out again I'm not lucky 1.Every contest I participated.It is my 58 no. Can I won in future?,@272296 Nevermind. We keep conducting contests. We wish you all the very best for the upcoming ones. Fingers crossed. ^RI,OTHER,auto
110,2986099,@AmazonHelp @115830 is there any reason you've suddenly started to preauth all transactions and then process the charge in a separate transaction?? This is causing havoc on my prepaid card because you're holding funds instead of just doing one else transaction.,"@823375 Sorry for any troubles caused! After an order is placed, we contact the issuing bank to confirm that the payment method is valid. Most card issuers release authorisations within 3-5 business days. You can learn more about authorisations here: ^TH",PAYMENT,human
111,1558775,1/2 @AmazonHelp @126705 This is disgusting service!!!! You've both delivered to our address before. I've paid extra for this!!,"@338849 Oh my! I'm sorry for this. Just to clarify, can you verify no info is missing on the address for this? ^AL",DELIVERY_ADDRESS,human
112,2826471,"@AmazonHelp Hej, I ordered a Nintendo Switch as part of the Cyber Monday deal. I got though and placed an order but you cancelled it as you had a problem with my card. Do I have any rights to re-order or do I just lose out? The site says I did 'claim the deal.'","@787323 Hi Ian, that sounds very strange! Apologies if this has caused any inconvenience. Please get in touch with us via this link: . We would like to look into this further for you. ^JC.",RETURN_CANCEL,human
113,1021064,@AmazonHelp Not sure how the location was closed when it was my home address?,@361622 We're sorry for the trouble this has caused you! Please contact our support team via this link: ^WM,DELIVERY_ADDRESS,auto
114,1297475,@AmazonHelp I work on your Mturk platform & use Amazon Payments to get paid. You stole $188.79 from me. When will U give it back? #amazon,"@423200 I'm sorry for the frustration! Have you had a chance to reach out to us? If not, can do so here: ^AC",PAYMENT,human
115,1084989,"@AmazonHelp @127187 @115851 Order# 405-2964732-9352306 Replacement Not Provided for the Stone Delivery instead of Mobile, Sufferring Loss of 7,500 for Fresh Order. Return Initiated without any Resolution or Compensation. Diwali Gift Ruined by Amazon","@344751 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP",DAMAGED_OR_WRONG,human
116,1252208,@115850 @AmazonHelp I don't nee this item with so much problem. Please do return. Please please....,@413688 Kindly contact our support team here: so that we can assist you accordingly.(2/2)^VH,RETURN_CANCEL,auto
117,465765,"@AmazonHelp posted items for selling, got an email confirmation as suspended. Need assistance. It's a home decor item, added in the same category.",@182055 Our seller support team will be happy to assist you. You can connect with the team here: . ^CB,ACCOUNT,human
118,622495,Was expecting a resolution call as promised by Amazon.in yesterday for the complaint raised . But to no avail.. __email__ :( @115850 @AmazonHelp,"@267749 My apologies, Vikas. We'd like to help you. Kindly share your details here: and we'll contact you at the earliest. ^NK",SERVICE_COMPLAINT,human
119,922250,2nd time in 7 days where my @115821 package is marked delivered but is not in my possession. Why even pay for prime? @AmazonHelp,@338934 I'm sorry for the reoccurring delivery issues. Are you noticing this issue with a certain carrier: ? ^GG,ORDER_STATUS,human
120,2424666,Thanks to the shit @115821 delivery driver who put my delivery behind the car wheel without even leaving a note to say it was there?? Or even knocking on the door to give us the parcel??? @AmazonHelp @123644 @115830,@696284 I'm terribly sorry this has happened with your parcel! Please give us a call or chat with us here as soon as you can: ^VF,DELIVERY_ADDRESS,human
121,1280565,@AmazonHelp utterly disappointed with the communication on order # 114-6443171-9633002,"@419627 Hi there! We can't access your account through Twitter. Without personal details, could you let us know how we can help? ^JD",SERVICE_COMPLAINT,auto
122,2769005,.@115821 @AmazonHelp tried many times to call but no no chance ... What a pathetic service guys ... U won't last for long if u will be like his in India .taking money and not delivering even after a month,"@119350 Alternatively, you may reach out to our team via E-mail/Chat using the link shared earlier. ^GK",ORDER_STATUS,human
